Time Stamp,Acceleration
24395516,-15.9393
24397448,-15.9744
24399384,-15.9744
24401316,-15.9744
24403248,-15.9744
24405180,-15.9744
24407112,-15.9744
24409044,-14.5665
24410980,-7.3515
24412864,2.106
24414728,2.106
24416592,12.0627
24418512,15.7911
24420444,15.9588
24422376,15.9588
24424304,15.9666
24426232,15.9666
24428160,15.9666
24430092,13.455
24432012,13.455
24433932,6.3765
24435808,-1.7511
24437688,-8.7594
24439576,-8.7594
24441464,-14.1804
24443392,-15.9003
24445320,-15.9705
24447244,-15.9705
24449176,-15.9744
24451112,-15.9744
24453048,-13.2132
24454988,-13.2132
24456924,-7.8
24458792,-1.4118
24460676,5.7174
24462556,5.7174
24464428,12.3435
24466356,15.6312
24468284,15.9549
24470216,15.9549
24472144,15.9666
24474076,14.1297
24476008,10.4052
24477936,10.4052
24479856,5.8383
24481728,0.4446
24483592,-4.3719
24485468,-4.3719
24487356,-8.6541
24489244,-11.8326
24491184,-13.5057
24493116,-13.5057
24495048,-13.7514
24496980,-12.7413
24498916,-10.5066
24500848,-10.5066
24502780,-6.7938
24504664,-2.964
24506536,3.5997
24508404,3.5997
24510276,7.7805
24512140,10.4871
24514064,11.2632
24516000,11.2632
24517932,10.4169
24519864,8.7477
24521740,5.9085
24523608,5.9085
24525476,2.7378
24527352,-0.5655
24529224,-3.6933
24531104,-3.6933
24532988,-6.3375
24534880,-8.2602
24536760,-9.1494
24538644,-9.1494
24540528,-9.0792
24542404,-8.1042
24544280,-6.1269
24546160,-6.1269
24548044,-3.5919
24549920,-0.975
24551792,-0.975
24553656,1.3728
24555540,3.2721
24557420,4.6605
24559292,4.6605
24561164,5.2923
24563040,5.343
24564908,4.5669
24566772,4.5669
24568652,3.4086
24570520,1.7238
24572400,-0.1131
24574284,-0.1131
24576160,-1.8759
24578028,-3.5061
24579908,-4.719
24581788,-4.719
24583668,-5.4951
24585544,-5.694
24587420,-5.3742
24589296,-5.3742
24591184,-4.5006
24593056,-3.2097
24594924,-1.7472
24596808,-1.7472
24598696,-0.0585
24600556,1.326
24602428,1.326
24604300,2.2386
24606168,2.7885
24608040,2.886
24609904,2.886
24611768,2.4843
24613636,1.8018
24615508,0.8229
24617380,0.8229
24619244,-0.2106
24621104,-1.248
24622984,-2.3283
24624872,-2.3283
24626752,-3.0225
24628632,-3.5178
24630508,-3.6231
24632396,-3.6231
24634280,-3.4515
24636160,-3.003
24638024,-3.003
24639888,-2.3439
24641768,-1.6029
24643644,-0.7995
24645512,-0.7995
24647396,-0.1872
24649272,0.4719
24651140,0.7761
24653004,0.7761
24654876,1.0257
24656752,0.9282
24658612,0.7215
24660480,0.7215
24662348,0.3198
24664220,-0.1989
24666076,-0.7137
24667960,-0.7137
24669840,-1.2675
24671724,-1.6887
24673612,-2.0436
24675492,-2.0436
24677360,-2.2347
24679248,-2.2581
24681128,-2.2581
24683008,-2.2113
24684892,-1.9851
24686776,-1.6653
24688660,-1.6653
24690548,-1.326
24692424,-0.9126
24694304,-0.5928
24696172,-0.5928
24698048,-0.2262
24699924,-0.0234
24701788,0.1014
24703648,0.1014
24705504,0.1131
24707376,-0.0156
24709244,-0.1755
24711112,-0.1755
24712988,-0.4407
24714856,-0.7332
24716724,-1.0257
24718604,-1.0257
24720480,-1.3104
24722356,-1.5288
24724244,-1.5288
24726128,-1.6848
24728008,-1.7043
24729888,-1.716
24731764,-1.716
24733644,-1.5717
24735532,-1.3845
24737416,-1.1466
24739300,-1.1466
24741184,-0.8853
24743060,-0.6903
24744924,-0.4836
24746792,-0.4836
24748664,-0.3549
24750532,-0.2691
24752408,-0.2925
24754280,-0.2925
24756152,-0.3705
24758016,-0.4836
24759880,-0.6825
24761756,-0.6825
24763632,-0.8229
24765508,-1.0218
24767384,-1.1856
24769272,-1.1856
24771152,-1.3065
24773036,-1.3962
24774920,-1.3962
24776804,-1.404
24778680,-1.3923
24780560,-1.3026
24782440,-1.3026
24784320,-1.2207
24786196,-1.0881
24788072,-0.9438
24789940,-0.9438
24791816,-0.8151
24793696,-0.6903
24795560,-0.6084
24797432,-0.6084
24799304,-0.5499
24801176,-0.5187
24803044,-0.5577
24804920,-0.5577
24806792,-0.6201
24808664,-0.7137
24810540,-0.8385
24812412,-0.8385
24814288,-0.9516
24816164,-1.0569
24818036,-1.0569
24819912,-1.1232
24821800,-1.1856
24823688,-1.2168
24825576,-1.2168
24827460,-1.2285
24829344,-1.17
24831224,-1.1115
24833116,-1.1115
24835004,-1.0569
24836888,-0.9633
24838768,-0.8853
24840640,-0.8853
24842512,-0.8151
24844388,-0.7566
24846260,-0.7215
24848136,-0.7215
24850016,-0.6942
24851888,-0.7137
24853764,-0.7371
24855636,-0.7371
24857508,-0.78
24859376,-0.8463
24861248,-0.8892
24863120,-0.8892
24864992,-0.9672
24866868,-1.0374
24868748,-1.0374
24870632,-1.053
24872508,-1.0998
24874384,-1.0959
24876260,-1.0959
24878136,-1.092
24880008,-1.0452
24881900,-1.0179
24883780,-1.0179
24885652,-0.9711
24887528,-0.9243
24889396,-0.8853
24891268,-0.8853
24893136,-0.8073
24895000,-0.7839
24896876,-0.7683
24898748,-0.7683
24900624,-0.78
24902488,-0.7878
24904352,-0.8424
24906228,-0.8424
24908100,-0.8775
24909972,-0.9126
24911840,-0.9126
24913716,-0.9594
24915592,-0.9906
24917464,-0.9984
24919340,-0.9984
24921216,-1.0218
24923092,-1.0257
24924972,-1.0374
24926852,-1.0374
24928728,-1.0335
24930604,-1.0062
24932476,-0.9906
24934344,-0.9906
24936208,-0.9477
24938072,-0.9126
24939956,-0.8697
24941824,-0.8697
24943700,-0.8424
24945572,-0.819
24947436,-0.819
24949296,-0.8034
24951164,-0.8268
24953040,-0.8229
24954916,-0.8229
24956788,-0.858
24958652,-0.897
24960512,-0.9321
24962388,-0.9321
